sample_id,image_path,parchment_tone,ink_family,stroke_width_px,scan_gain,difficulty_tier,visual_variant,degradation_label,edge_bleed_score,reverse_showthrough_score,pigment_loss_score
raw_ms_00061,images/raw_ms_00061.png,warm,carbon,5,0.909,hard,foxed_noise,abrasion,0.062,0.062,0.487
raw_ms_00062,images/raw_ms_00062.png,foxed,mixed,5,0.911,easy,standard,salt_bloom,0.0,0.0,0.31
raw_ms_00063,images/raw_ms_00063.png,neutral,iron_gall,9,1.102,easy,standard,bleed_through,0.0,0.973,0.0
raw_ms_00064,images/raw_ms_00064.png,warm,sepia,5,0.951,hard,standard,bleed_through,0.049,0.289,0.049
raw_ms_00065,images/raw_ms_00065.png,cool,iron_gall,7,1.026,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00066,images/raw_ms_00066.png,warm,iron_gall,5,1.109,hard,scanner_jitter,feathering,0.448,0.057,0.032
raw_ms_00067,images/raw_ms_00067.png,foxed,iron_gall,5,1.105,hard,mixed_artifact,abrasion,0.074,0.074,0.448
raw_ms_00068,images/raw_ms_00068.png,warm,sepia,5,0.875,hard,foxed_noise,bleed_through,0.082,0.562,0.082
raw_ms_00069,images/raw_ms_00069.png,neutral,iron_gall,5,1.007,medium,standard,stable_ink,0.0,0.0,0.021
raw_ms_00070,images/raw_ms_00070.png,neutral,sepia,4,1.037,easy,standard,bleed_through,0.0,1.012,0.0
raw_ms_00071,images/raw_ms_00071.png,neutral,sepia,4,1.034,hard,standard,stable_ink,0.0,0.0,0.046
raw_ms_00072,images/raw_ms_00072.png,foxed,iron_gall,7,0.92,hard,scanner_jitter,bleed_through,0.064,0.434,0.064
raw_ms_00073,images/raw_ms_00073.png,warm,mixed,9,0.967,medium,standard,bleed_through,0.032,0.489,0.0
raw_ms_00074,images/raw_ms_00074.png,warm,mixed,8,1.0,easy,standard,bleed_through,0.0,0.905,0.0
raw_ms_00075,images/raw_ms_00075.png,warm,iron_gall,9,0.937,easy,standard,salt_bloom,0.0,0.0,0.397
raw_ms_00076,images/raw_ms_00076.png,cool,sepia,5,1.033,hard,low_contrast,stable_ink,0.074,0.0,0.074
raw_ms_00077,images/raw_ms_00077.png,neutral,carbon,5,1.143,medium,standard,feathering,0.553,0.035,0.0
raw_ms_00078,images/raw_ms_00078.png,warm,sepia,8,0.956,medium,standard,feathering,0.582,0.0,0.013
raw_ms_00079,images/raw_ms_00079.png,cool,mixed,6,0.967,hard,low_contrast,abrasion,0.0,0.087,0.311
raw_ms_00080,images/raw_ms_00080.png,foxed,iron_gall,5,0.965,medium,standard,feathering,0.852,0.0,0.025
raw_ms_00081,images/raw_ms_00081.png,warm,iron_gall,4,1.074,medium,foxed_noise,stable_ink,0.021,0.0,0.0
raw_ms_00082,images/raw_ms_00082.png,foxed,carbon,6,0.895,hard,low_contrast,feathering,0.557,0.069,0.069
raw_ms_00083,images/raw_ms_00083.png,warm,iron_gall,6,1.097,easy,standard,bleed_through,0.0,1.019,0.0
raw_ms_00084,images/raw_ms_00084.png,cool,carbon,6,1.124,medium,low_contrast,abrasion,0.0,0.0,0.735
raw_ms_00085,images/raw_ms_00085.png,warm,carbon,7,1.144,medium,standard,bleed_through,0.042,0.853,0.0
raw_ms_00086,images/raw_ms_00086.png,warm,mixed,8,1.099,medium,mixed_artifact,salt_bloom,0.036,0.0,0.202
raw_ms_00087,images/raw_ms_00087.png,foxed,iron_gall,4,0.911,easy,standard,abrasion,0.0,0.0,0.984
raw_ms_00088,images/raw_ms_00088.png,warm,mixed,4,1.105,medium,foxed_noise,stable_ink,0.026,0.0,0.0
raw_ms_00089,images/raw_ms_00089.png,neutral,carbon,7,1.149,medium,mixed_artifact,bleed_through,0.029,0.558,0.0
raw_ms_00090,images/raw_ms_00090.png,cool,sepia,7,0.999,hard,foxed_noise,abrasion,0.082,0.0,0.329
raw_ms_00091,images/raw_ms_00091.png,warm,sepia,8,0.95,medium,low_contrast,feathering,0.688,0.0,0.024
raw_ms_00092,images/raw_ms_00092.png,warm,carbon,8,1.075,medium,standard,stable_ink,0.033,0.0,0.0
raw_ms_00093,images/raw_ms_00093.png,neutral,mixed,5,1.116,easy,standard,bleed_through,0.0,0.874,0.0
raw_ms_00094,images/raw_ms_00094.png,neutral,iron_gall,9,0.899,medium,standard,salt_bloom,0.0,0.023,0.279
raw_ms_00095,images/raw_ms_00095.png,cool,sepia,9,0.871,medium,standard,salt_bloom,0.02,0.0,0.274
raw_ms_00096,images/raw_ms_00096.png,warm,iron_gall,5,1.066,easy,low_contrast,bleed_through,0.0,0.852,0.0
raw_ms_00097,images/raw_ms_00097.png,cool,iron_gall,5,0.907,medium,scanner_jitter,feathering,0.754,0.0,0.016
raw_ms_00098,images/raw_ms_00098.png,warm,sepia,9,1.069,easy,standard,feathering,0.991,0.0,0.0
raw_ms_00099,images/raw_ms_00099.png,neutral,iron_gall,8,1.08,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00100,images/raw_ms_00100.png,foxed,iron_gall,4,1.142,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00101,images/raw_ms_00101.png,cool,carbon,6,0.946,easy,low_contrast,abrasion,0.0,0.0,1.059
raw_ms_00102,images/raw_ms_00102.png,foxed,iron_gall,7,1.097,easy,standard,salt_bloom,0.0,0.0,0.366
raw_ms_00103,images/raw_ms_00103.png,cool,sepia,5,1.003,medium,standard,stable_ink,0.0,0.028,0.0
raw_ms_00104,images/raw_ms_00104.png,neutral,sepia,6,0.925,hard,mixed_artifact,abrasion,0.052,0.052,0.267
raw_ms_00105,images/raw_ms_00105.png,warm,iron_gall,7,0.97,hard,low_contrast,salt_bloom,0.049,0.049,0.173
raw_ms_00106,images/raw_ms_00106.png,warm,carbon,8,1.0,medium,standard,abrasion,0.0,0.0,0.56
raw_ms_00107,images/raw_ms_00107.png,warm,iron_gall,5,1.127,medium,standard,bleed_through,0.0,0.57,0.012
raw_ms_00108,images/raw_ms_00108.png,warm,sepia,5,0.942,hard,scanner_jitter,salt_bloom,0.064,0.064,0.123
raw_ms_00109,images/raw_ms_00109.png,cool,carbon,4,0.944,medium,foxed_noise,bleed_through,0.0,0.762,0.04
raw_ms_00110,images/raw_ms_00110.png,warm,sepia,8,0.935,medium,low_contrast,stable_ink,0.0,0.0,0.022
raw_ms_00111,images/raw_ms_00111.png,neutral,iron_gall,9,0.877,medium,mixed_artifact,salt_bloom,0.0,0.0,0.19
raw_ms_00112,images/raw_ms_00112.png,neutral,carbon,6,0.924,medium,low_contrast,feathering,0.59,0.0,0.02
raw_ms_00113,images/raw_ms_00113.png,warm,iron_gall,4,0.914,hard,low_contrast,abrasion,0.088,0.0,0.456
raw_ms_00114,images/raw_ms_00114.png,foxed,carbon,7,1.02,easy,standard,abrasion,0.0,0.0,0.942
raw_ms_00115,images/raw_ms_00115.png,neutral,carbon,7,0.967,easy,low_contrast,bleed_through,0.0,1.107,0.0
raw_ms_00116,images/raw_ms_00116.png,neutral,iron_gall,9,0.942,easy,standard,bleed_through,0.0,0.967,0.0
raw_ms_00117,images/raw_ms_00117.png,neutral,sepia,5,1.049,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00118,images/raw_ms_00118.png,foxed,sepia,7,0.925,medium,low_contrast,bleed_through,0.0,0.532,0.039
raw_ms_00119,images/raw_ms_00119.png,neutral,iron_gall,7,0.9,easy,standard,salt_bloom,0.0,0.0,0.363
raw_ms_00120,images/raw_ms_00120.png,cool,carbon,6,0.994,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00121,images/raw_ms_00121.png,neutral,carbon,5,0.99,hard,mixed_artifact,salt_bloom,0.091,0.091,0.216
raw_ms_00122,images/raw_ms_00122.png,foxed,carbon,4,1.089,medium,low_contrast,bleed_through,0.03,0.788,0.0
raw_ms_00123,images/raw_ms_00123.png,warm,carbon,7,1.051,easy,standard,bleed_through,0.0,0.984,0.0
raw_ms_00124,images/raw_ms_00124.png,foxed,sepia,4,0.945,medium,mixed_artifact,feathering,0.58,0.0,0.024
raw_ms_00125,images/raw_ms_00125.png,warm,iron_gall,7,0.931,medium,low_contrast,feathering,0.749,0.032,0.0
raw_ms_00126,images/raw_ms_00126.png,neutral,sepia,5,1.091,hard,mixed_artifact,stable_ink,0.064,0.0,0.064
raw_ms_00127,images/raw_ms_00127.png,warm,iron_gall,4,0.879,medium,standard,stable_ink,0.035,0.0,0.0
raw_ms_00128,images/raw_ms_00128.png,foxed,carbon,4,1.017,medium,scanner_jitter,salt_bloom,0.0,0.024,0.204
raw_ms_00129,images/raw_ms_00129.png,neutral,carbon,9,1.054,medium,low_contrast,feathering,0.741,0.0,0.015
raw_ms_00130,images/raw_ms_00130.png,cool,sepia,6,0.98,hard,foxed_noise,feathering,0.581,0.088,0.088
raw_ms_00131,images/raw_ms_00131.png,foxed,carbon,4,0.987,medium,standard,salt_bloom,0.0,0.037,0.212
raw_ms_00132,images/raw_ms_00132.png,neutral,mixed,7,1.079,hard,foxed_noise,salt_bloom,0.077,0.077,0.091
raw_ms_00133,images/raw_ms_00133.png,neutral,iron_gall,7,0.974,hard,mixed_artifact,stable_ink,0.0,0.086,0.049
raw_ms_00134,images/raw_ms_00134.png,neutral,carbon,7,1.144,hard,foxed_noise,bleed_through,0.0,0.587,0.07
raw_ms_00135,images/raw_ms_00135.png,warm,carbon,5,0.879,easy,standard,abrasion,0.0,0.0,1.131
raw_ms_00136,images/raw_ms_00136.png,warm,carbon,7,1.106,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00137,images/raw_ms_00137.png,neutral,carbon,6,1.074,easy,low_contrast,stable_ink,0.0,0.0,0.0
raw_ms_00138,images/raw_ms_00138.png,warm,carbon,4,1.098,medium,foxed_noise,salt_bloom,0.0,0.0,0.279
raw_ms_00139,images/raw_ms_00139.png,neutral,sepia,7,0.865,hard,scanner_jitter,feathering,0.51,0.0,0.046
raw_ms_00140,images/raw_ms_00140.png,foxed,iron_gall,4,0.997,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00141,images/raw_ms_00141.png,warm,iron_gall,7,0.946,hard,mixed_artifact,feathering,0.384,0.064,0.064
raw_ms_00142,images/raw_ms_00142.png,foxed,iron_gall,4,0.98,medium,standard,feathering,0.594,0.031,0.0
raw_ms_00143,images/raw_ms_00143.png,foxed,iron_gall,9,0.868,medium,mixed_artifact,bleed_through,0.021,0.786,0.0
raw_ms_00144,images/raw_ms_00144.png,cool,sepia,6,1.046,hard,scanner_jitter,stable_ink,0.086,0.086,0.0
raw_ms_00145,images/raw_ms_00145.png,neutral,iron_gall,5,1.091,hard,standard,abrasion,0.073,0.073,0.499
raw_ms_00146,images/raw_ms_00146.png,neutral,iron_gall,6,1.06,medium,standard,abrasion,0.037,0.0,0.516
raw_ms_00147,images/raw_ms_00147.png,neutral,iron_gall,7,0.979,hard,scanner_jitter,salt_bloom,0.091,0.0,0.147
raw_ms_00148,images/raw_ms_00148.png,cool,iron_gall,8,1.025,easy,standard,feathering,1.035,0.0,0.0
raw_ms_00149,images/raw_ms_00149.png,neutral,sepia,8,1.025,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00150,images/raw_ms_00150.png,neutral,iron_gall,4,1.014,medium,low_contrast,stable_ink,0.031,0.0,0.0
raw_ms_00151,images/raw_ms_00151.png,warm,iron_gall,4,1.033,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00152,images/raw_ms_00152.png,neutral,sepia,9,1.136,easy,standard,feathering,1.0,0.0,0.0
raw_ms_00153,images/raw_ms_00153.png,neutral,carbon,7,1.071,hard,scanner_jitter,salt_bloom,0.056,0.056,0.115
raw_ms_00154,images/raw_ms_00154.png,cool,carbon,4,1.076,medium,standard,abrasion,0.0,0.0,0.637
raw_ms_00155,images/raw_ms_00155.png,warm,iron_gall,5,0.915,medium,foxed_noise,feathering,0.51,0.0,0.018
raw_ms_00156,images/raw_ms_00156.png,foxed,carbon,4,1.046,medium,standard,feathering,0.827,0.0,0.031
raw_ms_00157,images/raw_ms_00157.png,warm,mixed,8,0.913,medium,low_contrast,bleed_through,0.0,0.498,0.042
raw_ms_00158,images/raw_ms_00158.png,neutral,mixed,4,1.042,hard,foxed_noise,bleed_through,0.0,0.267,0.046
raw_ms_00159,images/raw_ms_00159.png,foxed,iron_gall,8,1.019,medium,low_contrast,abrasion,0.0,0.034,0.777
raw_ms_00160,images/raw_ms_00160.png,warm,iron_gall,5,1.119,hard,low_contrast,abrasion,0.081,0.081,0.348
raw_ms_00161,images/raw_ms_00161.png,warm,iron_gall,5,1.028,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00162,images/raw_ms_00162.png,warm,iron_gall,8,0.99,medium,low_contrast,abrasion,0.0,0.037,0.828
raw_ms_00163,images/raw_ms_00163.png,foxed,sepia,4,1.132,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00164,images/raw_ms_00164.png,foxed,iron_gall,9,0.916,medium,mixed_artifact,feathering,0.507,0.0,0.013
raw_ms_00165,images/raw_ms_00165.png,neutral,iron_gall,6,0.907,medium,standard,abrasion,0.0,0.0,0.696
raw_ms_00166,images/raw_ms_00166.png,warm,iron_gall,7,0.941,hard,foxed_noise,stable_ink,0.0,0.052,0.029
raw_ms_00167,images/raw_ms_00167.png,foxed,carbon,5,1.098,easy,standard,feathering,0.933,0.0,0.0
raw_ms_00168,images/raw_ms_00168.png,cool,mixed,8,1.129,medium,mixed_artifact,stable_ink,0.0,0.0,0.029
raw_ms_00169,images/raw_ms_00169.png,warm,sepia,9,0.916,easy,standard,feathering,0.946,0.0,0.0
raw_ms_00170,images/raw_ms_00170.png,warm,sepia,4,1.15,hard,scanner_jitter,abrasion,0.088,0.0,0.617
raw_ms_00171,images/raw_ms_00171.png,neutral,iron_gall,6,1.08,medium,foxed_noise,stable_ink,0.0,0.0,0.022
raw_ms_00172,images/raw_ms_00172.png,warm,mixed,8,0.969,medium,mixed_artifact,stable_ink,0.0,0.0,0.029
raw_ms_00173,images/raw_ms_00173.png,warm,iron_gall,9,0.891,medium,foxed_noise,stable_ink,0.041,0.0,0.0
raw_ms_00174,images/raw_ms_00174.png,warm,iron_gall,9,0.93,easy,standard,feathering,0.979,0.0,0.0
raw_ms_00175,images/raw_ms_00175.png,warm,iron_gall,6,1.115,medium,foxed_noise,abrasion,0.0,0.0,0.602
raw_ms_00176,images/raw_ms_00176.png,neutral,carbon,7,1.003,easy,standard,bleed_through,0.0,1.071,0.0
raw_ms_00177,images/raw_ms_00177.png,neutral,sepia,9,1.049,medium,standard,salt_bloom,0.0,0.021,0.172
raw_ms_00178,images/raw_ms_00178.png,cool,iron_gall,5,0.871,easy,standard,bleed_through,0.0,1.0,0.0
raw_ms_00179,images/raw_ms_00179.png,foxed,iron_gall,5,0.94,medium,low_contrast,salt_bloom,0.0,0.0,0.272
raw_ms_00180,images/raw_ms_00180.png,foxed,carbon,4,1.046,medium,standard,abrasion,0.028,0.0,0.802
raw_ms_00181,images/raw_ms_00181.png,foxed,carbon,7,0.922,hard,foxed_noise,stable_ink,0.0,0.087,0.05
raw_ms_00182,images/raw_ms_00182.png,foxed,carbon,9,0.915,medium,standard,abrasion,0.0,0.02,0.703
raw_ms_00183,images/raw_ms_00183.png,warm,iron_gall,5,0.922,medium,foxed_noise,feathering,0.61,0.0,0.013
raw_ms_00184,images/raw_ms_00184.png,foxed,iron_gall,5,1.104,hard,foxed_noise,feathering,0.296,0.09,0.051
raw_ms_00185,images/raw_ms_00185.png,warm,mixed,6,1.093,easy,standard,salt_bloom,0.0,0.0,0.306
raw_ms_00186,images/raw_ms_00186.png,warm,iron_gall,8,0.936,easy,standard,feathering,1.051,0.0,0.0
raw_ms_00187,images/raw_ms_00187.png,warm,carbon,7,0.906,medium,standard,stable_ink,0.0,0.0,0.041
raw_ms_00188,images/raw_ms_00188.png,neutral,sepia,4,1.056,easy,standard,salt_bloom,0.0,0.0,0.338
raw_ms_00189,images/raw_ms_00189.png,cool,iron_gall,5,1.104,hard,scanner_jitter,stable_ink,0.051,0.051,0.0
raw_ms_00190,images/raw_ms_00190.png,foxed,iron_gall,6,0.923,easy,standard,bleed_through,0.0,0.927,0.0
raw_ms_00191,images/raw_ms_00191.png,neutral,iron_gall,5,1.028,easy,standard,abrasion,0.0,0.0,0.979
raw_ms_00192,images/raw_ms_00192.png,warm,mixed,7,1.133,hard,foxed_noise,bleed_through,0.0,0.461,0.064
raw_ms_00193,images/raw_ms_00193.png,warm,iron_gall,8,0.909,medium,low_contrast,abrasion,0.0,0.027,0.592
raw_ms_00194,images/raw_ms_00194.png,warm,carbon,5,1.1,medium,foxed_noise,stable_ink,0.0,0.022,0.0
raw_ms_00195,images/raw_ms_00195.png,neutral,carbon,5,1.032,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00196,images/raw_ms_00196.png,warm,mixed,8,0.942,easy,low_contrast,feathering,0.913,0.0,0.0
raw_ms_00197,images/raw_ms_00197.png,neutral,mixed,8,1.09,easy,low_contrast,salt_bloom,0.0,0.0,0.336
raw_ms_00198,images/raw_ms_00198.png,neutral,iron_gall,5,0.99,hard,foxed_noise,stable_ink,0.049,0.0,0.049
raw_ms_00199,images/raw_ms_00199.png,warm,mixed,6,1.146,hard,scanner_jitter,stable_ink,0.062,0.0,0.062
raw_ms_00200,images/raw_ms_00200.png,warm,carbon,9,0.864,medium,foxed_noise,feathering,0.513,0.0,0.037
raw_ms_00201,images/raw_ms_00201.png,neutral,sepia,4,1.075,hard,standard,feathering,0.39,0.075,0.075
raw_ms_00202,images/raw_ms_00202.png,warm,mixed,4,1.029,easy,standard,abrasion,0.0,0.0,1.145
raw_ms_00203,images/raw_ms_00203.png,warm,mixed,6,0.976,easy,standard,salt_bloom,0.0,0.0,0.392
raw_ms_00204,images/raw_ms_00204.png,neutral,sepia,8,1.119,medium,standard,salt_bloom,0.0,0.0,0.257
raw_ms_00205,images/raw_ms_00205.png,warm,carbon,7,0.884,medium,low_contrast,feathering,0.61,0.03,0.0
raw_ms_00206,images/raw_ms_00206.png,neutral,iron_gall,5,1.132,medium,low_contrast,salt_bloom,0.0,0.04,0.253
raw_ms_00207,images/raw_ms_00207.png,neutral,iron_gall,8,1.073,medium,low_contrast,abrasion,0.0,0.0,0.725
raw_ms_00208,images/raw_ms_00208.png,warm,iron_gall,5,0.874,medium,standard,feathering,0.55,0.0,0.018
raw_ms_00209,images/raw_ms_00209.png,foxed,carbon,4,0.985,hard,standard,salt_bloom,0.09,0.09,0.126
raw_ms_00210,images/raw_ms_00210.png,warm,sepia,9,0.911,medium,standard,abrasion,0.019,0.0,0.843
raw_ms_00211,images/raw_ms_00211.png,warm,sepia,4,1.072,medium,standard,abrasion,0.024,0.0,0.765
raw_ms_00212,images/raw_ms_00212.png,warm,iron_gall,7,0.977,easy,standard,abrasion,0.0,0.0,0.977
raw_ms_00213,images/raw_ms_00213.png,foxed,carbon,9,0.93,easy,low_contrast,bleed_through,0.0,0.861,0.0
raw_ms_00214,images/raw_ms_00214.png,cool,carbon,6,0.993,medium,scanner_jitter,salt_bloom,0.0,0.0,0.178
raw_ms_00215,images/raw_ms_00215.png,neutral,iron_gall,6,0.908,hard,mixed_artifact,salt_bloom,0.056,0.0,0.202
raw_ms_00216,images/raw_ms_00216.png,warm,iron_gall,7,0.936,hard,standard,salt_bloom,0.084,0.0,0.127
raw_ms_00217,images/raw_ms_00217.png,foxed,iron_gall,5,1.123,easy,standard,salt_bloom,0.0,0.0,0.392
raw_ms_00218,images/raw_ms_00218.png,warm,carbon,6,0.945,easy,standard,salt_bloom,0.0,0.0,0.346
raw_ms_00219,images/raw_ms_00219.png,neutral,sepia,8,0.925,easy,standard,feathering,0.923,0.0,0.0
raw_ms_00220,images/raw_ms_00220.png,warm,sepia,4,1.072,medium,standard,feathering,0.607,0.037,0.0
raw_ms_00221,images/raw_ms_00221.png,neutral,mixed,4,1.056,medium,low_contrast,feathering,0.723,0.042,0.0
raw_ms_00222,images/raw_ms_00222.png,warm,iron_gall,4,0.937,medium,low_contrast,stable_ink,0.0,0.0,0.016
